id,department_code,department_name,district_code,district_name,grievance_category,days_to_resolve,officer_response_count,escalation_level,lapse_type,lapse_type_id,confidence
663,REVENUE,Revenue (CCLA),ANM,Annamaya,revenue_certificate,33,6,CM,Not visited site / No field verification,2,0.93
664,HEALTH,"Health, Medical And Family Welfare",PKM,Prakasam,hospital_service,11,1,Mandal,Incorrect routing,10,0.91
665,WATER,Water Resources,ELR,Eluru,flood_control,11,1,RDO,Not visited site / No field verification,2,0.88
666,WATER,Water Resources,PVT,Parvathipuram Manyam,irrigation_canal,26,3,Tahsildar,GRA did not speak to citizen directly,1,0.9
667,HOUSING,Housing,CHT,Chittoor,building_quality,71,20,CM,Not visited site / No field verification,2,0.87
668,REVENUE,Revenue (CCLA),ANM,Annamaya,land_mutation,54,10,Collector,No proper enquiry conducted,5,0.92
669,MUNI,Municipal Administration And Urban Development,STY,Sri Satya Sai,garbage_collection,22,2,RDO,GRA did not speak to citizen directly,1,0.92
670,REVENUE,Revenue (CCLA),NAG,Sri Potti Sriramulu Nellore,land_mutation,39,4,RDO,Not visited site / No field verification,2,0.88
671,HEALTH,"Health, Medical And Family Welfare",KDP,Kadapa,ambulance_service,44,11,HOD,No proper enquiry conducted,5,0.88
672,HEALTH,"Health, Medical And Family Welfare",NLR,Nellore,medicine_shortage,10,1,Mandal,GRA did not speak to citizen directly,1,0.92
673,REVENUE,Revenue (CCLA),NTR,NTR District,revenue_certificate,21,5,HOD,GRA did not speak to citizen directly,1,0.9
674,REVENUE,Revenue (CCLA),PVT,Parvathipuram Manyam,revenue_certificate,53,14,Collector,Not visited site / No field verification,2,0.89
675,REVENUE,Revenue (CCLA),ANA,Anakapalli,tax_assessment,9,1,RDO,GRA did not speak to citizen directly,1,0.91
676,MUNI,Municipal Administration And Urban Development,PVT,Parvathipuram Manyam,building_permission,7,1,GRA,GRA did not speak to citizen directly,1,0.92
677,AGRI,Agriculture And Co-operation,BAP,Bapatla,crop_compensation,12,1,GRA,No action letter issued,11,0.86
678,ENERGY,Energy,PVT,Parvathipuram Manyam,new_connection,7,1,RDO,GRA did not speak to citizen directly,1,0.9
679,REVENUE,Revenue (CCLA),EG,East Godavari,property_dispute,1,1,Mandal,Premature closure,6,0.94
680,REVENUE,Revenue (CCLA),NLR,Nellore,land_records,53,10,RDO,Not visited site / No field verification,2,0.88
681,REVENUE,Revenue (CCLA),ELR,Eluru,property_dispute,18,3,Collector,Not visited site / No field verification,2,0.93
682,MUNI,Municipal Administration And Urban Development,SKM,Srikakulam,road_repair,4,1,GRA,GRA did not speak to citizen directly,1,0.89
683,REVENUE,Revenue (CCLA),PVT,Parvathipuram Manyam,encroachment,22,4,Collector,GRA did not speak to citizen directly,1,0.87
684,AGRI,Agriculture And Co-operation,ANT,Anantapur,crop_insurance,20,2,Tahsildar,Action not taken as per rules,7,0.91
685,ENERGY,Energy,NTR,NTR District,billing_dispute,15,3,RDO,Incorrect routing,10,0.93
686,SOC_WELF,Social Welfare,ANA,Anakapalli,pension_not_received,18,1,Collector,GRA did not speak to citizen directly,1,0.93
687,PNCHRAJ,Panchayat Raj And Rural Development,PLN,Palnadu,community_hall,9,1,Mandal,GRA did not speak to citizen directly,1,0.87
688,AGRI,Agriculture And Co-operation,NLR,Nellore,fertilizer_issue,17,1,Tahsildar,Wrong/Blank/Not related comments,3,0.92
689,RNB,"Transport, Roads And Buildings",ANT,Anantapur,contractor_issue,20,1,Mandal,GRA did not speak to citizen directly,1,0.94
690,REVENUE,Revenue (CCLA),BAP,Bapatla,land_mutation,1,1,Mandal,GRA did not speak to citizen directly,1,0.87
691,PNCHRAJ,Panchayat Raj And Rural Development,SKM,Srikakulam,sanitation,4,1,GRA,Wrong/Blank/Not related comments,3,0.92
692,SOC_WELF,Social Welfare,CHT,Chittoor,welfare_scheme,25,4,HOD,GRA did not speak to citizen directly,1,0.86
693,REVENUE,Revenue (CCLA),GNT,Guntur,property_dispute,3,1,GRA,Wrong/Blank/Not related comments,3,0.86
694,ENERGY,Energy,ARL,Alluri Sitharama Raju,transformer_problem,5,1,GRA,Incorrect routing,10,0.91
695,SOC_WELF,Social Welfare,PKM,Prakasam,pension_delay,3,1,GRA,GRA did not speak to citizen directly,1,0.92
696,REVENUE,Revenue (CCLA),BAP,Bapatla,encroachment,22,2,Mandal,GRA did not speak to citizen directly,1,0.91
697,HOUSING,Housing,ANT,Anantapur,housing_scheme,1,1,Tahsildar,Closed without required documents,4,0.93
698,SOC_WELF,Social Welfare,ANT,Anantapur,welfare_scheme,19,3,Collector,Inadequate action taken,8,0.86
699,AGRI,Agriculture And Co-operation,TPT,Tirupati,crop_insurance,62,20,CM,Not visited site / No field verification,2,0.85
700,SOC_WELF,Social Welfare,ANA,Anakapalli,welfare_scheme,1,1,GRA,Wrong/Blank/Not related comments,3,0.87
701,AGRI,Agriculture And Co-operation,KKN,Kakinada,fertilizer_issue,38,8,Collector,No proper enquiry conducted,5,0.91
702,MUNI,Municipal Administration And Urban Development,PLN,Palnadu,garbage_collection,33,4,Tahsildar,No proper enquiry conducted,5,0.86
703,REVENUE,Revenue (CCLA),TPT,Tirupati,revenue_certificate,7,1,Collector,GRA did not speak to citizen directly,1,0.91
704,RNB,"Transport, Roads And Buildings",NAG,Sri Potti Sriramulu Nellore,bridge_repair,8,1,Tahsildar,Wrong/Blank/Not related comments,3,0.87
705,REVENUE,Revenue (CCLA),ANM,Annamaya,land_mutation,15,2,Mandal,GRA did not speak to citizen directly,1,0.93
706,PNCHRAJ,Panchayat Raj And Rural Development,VZG,Vizianagaram,drinking_water,1,1,GRA,GRA did not speak to citizen directly,1,0.91
707,WATER,Water Resources,VSP,Visakhapatnam,bore_well,15,2,Tahsildar,Premature closure,6,0.9
708,SOC_WELF,Social Welfare,STY,Sri Satya Sai,welfare_scheme,8,1,RDO,GRA did not speak to citizen directly,1,0.85
709,RNB,"Transport, Roads And Buildings",ARL,Alluri Sitharama Raju,bus_service,23,2,Mandal,Wrong/Blank/Not related comments,3,0.86
710,MUNI,Municipal Administration And Urban Development,PKM,Prakasam,street_lights,35,5,RDO,Not visited site / No field verification,2,0.88
711,REVENUE,Revenue (CCLA),KNR,Konaseema,encroachment,13,1,Tahsildar,GRA did not speak to citizen directly,1,0.93
712,MUNI,Municipal Administration And Urban Development,PLN,Palnadu,building_permission,11,1,GRA,Poor quality of work,12,0.93
713,REVENUE,Revenue (CCLA),KDP,Kadapa,encroachment,6,1,Mandal,GRA did not speak to citizen directly,1,0.85
714,REVENUE,Revenue (CCLA),KKN,Kakinada,tax_assessment,14,2,Mandal,Action not taken as per rules,7,0.94
715,REVENUE,Revenue (CCLA),PLN,Palnadu,tax_assessment,86,18,Collector,Not visited site / No field verification,2,0.88
716,AGRI,Agriculture And Co-operation,ANT,Anantapur,irrigation_problem,10,1,Tahsildar,Incorrect routing,10,0.93
717,REVENUE,Revenue (CCLA),NTR,NTR District,land_mutation,19,2,Tahsildar,GRA did not speak to citizen directly,1,0.95
718,REVENUE,Revenue (CCLA),ARL,Alluri Sitharama Raju,land_mutation,69,18,CM,Not visited site / No field verification,2,0.86
719,PNCHRAJ,Panchayat Raj And Rural Development,CHT,Chittoor,village_development,72,13,Collector,Not visited site / No field verification,2,0.85
720,REVENUE,Revenue (CCLA),NAG,Sri Potti Sriramulu Nellore,revenue_certificate,21,3,Mandal,Closed without required documents,4,0.94
721,AGRI,Agriculture And Co-operation,KRS,Krishna,subsidy_delay,66,14,HOD,No proper enquiry conducted,5,0.92
722,PNCHRAJ,Panchayat Raj And Rural Development,ANA,Anakapalli,drinking_water,9,1,GRA,GRA did not speak to citizen directly,1,0.9
723,REVENUE,Revenue (CCLA),PVT,Parvathipuram Manyam,land_records,1,1,GRA,GRA did not speak to citizen directly,1,0.89
724,AGRI,Agriculture And Co-operation,KNR,Konaseema,crop_compensation,56,10,Collector,Not visited site / No field verification,2,0.93
725,REVENUE,Revenue (CCLA),CHT,Chittoor,property_dispute,73,18,HOD,Not visited site / No field verification,2,0.91
726,SOC_WELF,Social Welfare,ANT,Anantapur,scholarship_issue,15,3,RDO,Closed without required documents,4,0.87
727,SOC_WELF,Social Welfare,TPT,Tirupati,welfare_scheme,1,1,GRA,Wrong/Blank/Not related comments,3,0.85
728,REVENUE,Revenue (CCLA),TPT,Tirupati,tax_assessment,22,4,Tahsildar,GRA did not speak to citizen directly,1,0.94
729,HEALTH,"Health, Medical And Family Welfare",BAP,Bapatla,medicine_shortage,12,1,RDO,Closed without required documents,4,0.86
730,AGRI,Agriculture And Co-operation,ANA,Anakapalli,crop_insurance,10,1,GRA,GRA did not speak to citizen directly,1,0.91
731,RNB,"Transport, Roads And Buildings",TPT,Tirupati,road_pothole,57,13,Tahsildar,Not visited site / No field verification,2,0.86
732,MUNI,Municipal Administration And Urban Development,KKN,Kakinada,drainage_issue,14,3,RDO,GRA did not speak to citizen directly,1,0.92
733,REVENUE,Revenue (CCLA),PLN,Palnadu,encroachment,22,5,Tahsildar,Not visited site / No field verification,2,0.88
734,REVENUE,Revenue (CCLA),WG,West Godavari,land_records,8,1,RDO,GRA did not speak to citizen directly,1,0.86
735,ENERGY,Energy,KNR,Konaseema,transformer_problem,67,20,Collector,Not visited site / No field verification,2,0.85
736,REVENUE,Revenue (CCLA),ANT,Anantapur,tax_assessment,18,2,Collector,Wrong/Blank/Not related comments,3,0.9
737,REVENUE,Revenue (CCLA),WG,West Godavari,tax_assessment,6,1,Tahsildar,GRA did not speak to citizen directly,1,0.91
738,PNCHRAJ,Panchayat Raj And Rural Development,KKN,Kakinada,village_roads,48,5,Tahsildar,Not visited site / No field verification,2,0.91
739,REVENUE,Revenue (CCLA),ANM,Annamaya,land_mutation,27,1,Tahsildar,Wrong/Blank/Not related comments,3,0.93
740,AGRI,Agriculture And Co-operation,KRS,Krishna,crop_compensation,15,1,RDO,GRA did not speak to citizen directly,1,0.9
741,REVENUE,Revenue (CCLA),VSP,Visakhapatnam,land_mutation,10,1,RDO,Wrong/Blank/Not related comments,3,0.9
742,REVENUE,Revenue (CCLA),VSP,Visakhapatnam,encroachment,14,1,Tahsildar,GRA did not speak to citizen directly,1,0.91
743,REVENUE,Revenue (CCLA),CHT,Chittoor,tax_assessment,5,1,GRA,Wrong/Blank/Not related comments,3,0.87
744,SOC_WELF,Social Welfare,CHT,Chittoor,scholarship_issue,21,4,RDO,Inadequate action taken,8,0.87
745,MUNI,Municipal Administration And Urban Development,NTR,NTR District,street_lights,6,1,GRA,GRA did not speak to citizen directly,1,0.95
746,REVENUE,Revenue (CCLA),WG,West Godavari,land_mutation,16,2,Tahsildar,Wrong/Blank/Not related comments,3,0.89
747,PNCHRAJ,Panchayat Raj And Rural Development,EG,East Godavari,sanitation,52,7,Collector,Not visited site / No field verification,2,0.94
748,MUNI,Municipal Administration And Urban Development,BAP,Bapatla,drainage_issue,17,1,Mandal,GRA did not speak to citizen directly,1,0.91
749,WATER,Water Resources,KRS,Krishna,irrigation_canal,43,6,RDO,No proper enquiry conducted,5,0.89
750,REVENUE,Revenue (CCLA),ELR,Eluru,property_dispute,18,2,Collector,Inadequate action taken,8,0.89
751,SOC_WELF,Social Welfare,TPT,Tirupati,pension_not_received,12,2,HOD,GRA did not speak to citizen directly,1,0.94
752,REVENUE,Revenue (CCLA),KNL,Kurnool,property_dispute,19,3,Collector,Wrong/Blank/Not related comments,3,0.9
753,MUNI,Municipal Administration And Urban Development,ELR,Eluru,water_supply,7,1,RDO,No action letter issued,11,0.89
754,ENERGY,Energy,PKM,Prakasam,new_connection,23,3,Tahsildar,Wrong/Blank/Not related comments,3,0.94
755,REVENUE,Revenue (CCLA),VSP,Visakhapatnam,revenue_certificate,9,1,GRA,GRA did not speak to citizen directly,1,0.93
756,REVENUE,Revenue (CCLA),NLR,Nellore,tax_assessment,1,1,GRA,Inordinate delay,9,0.86
757,SOC_WELF,Social Welfare,KKN,Kakinada,pension_not_received,16,5,HOD,GRA did not speak to citizen directly,1,0.86
758,REVENUE,Revenue (CCLA),BAP,Bapatla,land_mutation,10,1,Tahsildar,Wrong/Blank/Not related comments,3,0.87
759,PNCHRAJ,Panchayat Raj And Rural Development,EG,East Godavari,sanitation,10,1,GRA,GRA did not speak to citizen directly,1,0.86
760,SOC_WELF,Social Welfare,ARL,Alluri Sitharama Raju,scholarship_issue,16,2,RDO,GRA did not speak to citizen directly,1,0.94
761,SOC_WELF,Social Welfare,PKM,Prakasam,pension_not_received,14,1,GRA,GRA did not speak to citizen directly,1,0.88
762,HOUSING,Housing,KDP,Kadapa,housing_scheme,8,1,GRA,GRA did not speak to citizen directly,1,0.9
763,AGRI,Agriculture And Co-operation,KNL,Kurnool,irrigation_problem,7,1,Mandal,No action letter issued,11,0.89
764,PNCHRAJ,Panchayat Raj And Rural Development,GNT,Guntur,sanitation,26,4,RDO,GRA did not speak to citizen directly,1,0.91
765,SOC_WELF,Social Welfare,NLR,Nellore,disability_certificate,7,1,Mandal,GRA did not speak to citizen directly,1,0.88
766,REVENUE,Revenue (CCLA),TPT,Tirupati,revenue_certificate,11,1,RDO,GRA did not speak to citizen directly,1,0.93
767,REVENUE,Revenue (CCLA),KNL,Kurnool,land_records,8,1,GRA,Incorrect routing,10,0.95
768,WATER,Water Resources,PVT,Parvathipuram Manyam,water_shortage,30,11,Collector,GRA did not speak to citizen directly,1,0.86
769,REVENUE,Revenue (CCLA),NTR,NTR District,property_dispute,62,14,Collector,Not visited site / No field verification,2,0.89
770,LABOUR,"Labour, Factories, Boilers And Insurance Medical Services",BAP,Bapatla,labour_welfare,30,8,HOD,GRA did not speak to citizen directly,1,0.86
771,SOC_WELF,Social Welfare,NLR,Nellore,pension_delay,10,1,RDO,GRA did not speak to citizen directly,1,0.88
772,HEALTH,"Health, Medical And Family Welfare",STY,Sri Satya Sai,ambulance_service,15,1,Tahsildar,Wrong/Blank/Not related comments,3,0.88
773,REVENUE,Revenue (CCLA),ANA,Anakapalli,land_mutation,5,1,GRA,GRA did not speak to citizen directly,1,0.89
774,REVENUE,Revenue (CCLA),VSP,Visakhapatnam,encroachment,7,1,GRA,Wrong/Blank/Not related comments,3,0.87
775,REVENUE,Revenue (CCLA),ARL,Alluri Sitharama Raju,tax_assessment,20,3,RDO,Wrong/Blank/Not related comments,3,0.94
776,SOC_WELF,Social Welfare,WG,West Godavari,scholarship_issue,7,1,Mandal,GRA did not speak to citizen directly,1,0.94
777,REVENUE,Revenue (CCLA),NAG,Sri Potti Sriramulu Nellore,land_records,4,1,Collector,Closed without required documents,4,0.92
778,SOC_WELF,Social Welfare,ELR,Eluru,welfare_scheme,14,2,Mandal,GRA did not speak to citizen directly,1,0.86
779,HOUSING,Housing,STY,Sri Satya Sai,allotment_issue,1,1,GRA,GRA did not speak to citizen directly,1,0.87
780,SOC_WELF,Social Welfare,ELR,Eluru,pension_delay,15,1,Tahsildar,GRA did not speak to citizen directly,1,0.93
781,REVENUE,Revenue (CCLA),BAP,Bapatla,tax_assessment,46,15,CM,Not visited site / No field verification,2,0.86
782,AGRI,Agriculture And Co-operation,KNL,Kurnool,irrigation_problem,21,2,Mandal,GRA did not speak to citizen directly,1,0.86
783,REVENUE,Revenue (CCLA),ANT,Anantapur,encroachment,2,1,Mandal,Closed without required documents,4,0.92
784,LABOUR,"Labour, Factories, Boilers And Insurance Medical Services",KDP,Kadapa,labour_welfare,1,1,GRA,Wrong/Blank/Not related comments,3,0.91
785,REVENUE,Revenue (CCLA),ARL,Alluri Sitharama Raju,tax_assessment,15,2,Tahsildar,GRA did not speak to citizen directly,1,0.85
786,REVENUE,Revenue (CCLA),KNR,Konaseema,land_mutation,46,12,CM,Not visited site / No field verification,2,0.9
787,HEALTH,"Health, Medical And Family Welfare",PLN,Palnadu,doctor_absence,9,1,Mandal,GRA did not speak to citizen directly,1,0.91
788,ENERGY,Energy,GNT,Guntur,meter_issue,5,1,GRA,Wrong/Blank/Not related comments,3,0.94
789,REVENUE,Revenue (CCLA),CHT,Chittoor,property_dispute,62,10,CM,Not visited site / No field verification,2,0.93
790,MUNI,Municipal Administration And Urban Development,BAP,Bapatla,building_permission,45,8,Collector,Not visited site / No field verification,2,0.94
791,REVENUE,Revenue (CCLA),WG,West Godavari,land_mutation,37,11,Collector,Not visited site / No field verification,2,0.9
792,LABOUR,"Labour, Factories, Boilers And Insurance Medical Services",NTR,NTR District,labour_welfare,14,1,Tahsildar,GRA did not speak to citizen directly,1,0.86
793,REVENUE,Revenue (CCLA),WG,West Godavari,property_dispute,22,3,Mandal,GRA did not speak to citizen directly,1,0.85
794,SOC_WELF,Social Welfare,VZG,Vizianagaram,pension_not_received,23,4,RDO,GRA did not speak to citizen directly,1,0.86
795,REVENUE,Revenue (CCLA),ANT,Anantapur,revenue_certificate,12,1,GRA,Wrong/Blank/Not related comments,3,0.91
796,REVENUE,Revenue (CCLA),PLN,Palnadu,revenue_certificate,20,5,HOD,GRA did not speak to citizen directly,1,0.89
797,WATER,Water Resources,STY,Sri Satya Sai,flood_control,8,1,Tahsildar,GRA did not speak to citizen directly,1,0.93
798,MUNI,Municipal Administration And Urban Development,PVT,Parvathipuram Manyam,drainage_issue,18,2,Mandal,No action letter issued,11,0.95
799,REVENUE,Revenue (CCLA),CHT,Chittoor,encroachment,1,1,Tahsildar,Premature closure,6,0.87
800,SOC_WELF,Social Welfare,SKM,Srikakulam,scholarship_issue,12,1,GRA,GRA did not speak to citizen directly,1,0.9
801,MUNI,Municipal Administration And Urban Development,ANA,Anakapalli,garbage_collection,9,1,Mandal,Wrong/Blank/Not related comments,3,0.9
802,SOC_WELF,Social Welfare,ARL,Alluri Sitharama Raju,welfare_scheme,6,1,Tahsildar,Closed without required documents,4,0.95
803,SOC_WELF,Social Welfare,ANT,Anantapur,scholarship_issue,11,1,Tahsildar,Incorrect routing,10,0.86
804,SOC_WELF,Social Welfare,PLN,Palnadu,pension_not_received,2,1,Tahsildar,GRA did not speak to citizen directly,1,0.94
805,LABOUR,"Labour, Factories, Boilers And Insurance Medical Services",ANT,Anantapur,labour_welfare,6,1,GRA,No action letter issued,11,0.86
806,WATER,Water Resources,NAG,Sri Potti Sriramulu Nellore,tank_maintenance,9,1,GRA,GRA did not speak to citizen directly,1,0.93
807,ENERGY,Energy,SKM,Srikakulam,billing_dispute,5,1,GRA,Wrong/Blank/Not related comments,3,0.9
808,REVENUE,Revenue (CCLA),ARL,Alluri Sitharama Raju,land_mutation,6,1,GRA,GRA did not speak to citizen directly,1,0.86
809,REVENUE,Revenue (CCLA),ANT,Anantapur,land_records,19,1,Mandal,Wrong/Blank/Not related comments,3,0.88
810,AGRI,Agriculture And Co-operation,STY,Sri Satya Sai,crop_compensation,2,1,GRA,Closed without required documents,4,0.87
811,AGRI,Agriculture And Co-operation,ANA,Anakapalli,crop_insurance,3,1,GRA,GRA did not speak to citizen directly,1,0.85
812,PNCHRAJ,Panchayat Raj And Rural Development,VZG,Vizianagaram,village_roads,8,1,Mandal,GRA did not speak to citizen directly,1,0.85
813,REVENUE,Revenue (CCLA),PLN,Palnadu,revenue_certificate,16,2,Tahsildar,Action not taken as per rules,7,0.9
814,REVENUE,Revenue (CCLA),PLN,Palnadu,land_records,7,1,GRA,Wrong/Blank/Not related comments,3,0.9
815,SOC_WELF,Social Welfare,ANA,Anakapalli,welfare_scheme,6,1,GRA,No action letter issued,11,0.86
816,MUNI,Municipal Administration And Urban Development,WG,West Godavari,garbage_collection,11,1,Tahsildar,GRA did not speak to citizen directly,1,0.88
817,REVENUE,Revenue (CCLA),PKM,Prakasam,revenue_certificate,17,3,RDO,GRA did not speak to citizen directly,1,0.94
818,REVENUE,Revenue (CCLA),KNL,Kurnool,land_mutation,19,2,Tahsildar,GRA did not speak to citizen directly,1,0.91
819,RNB,"Transport, Roads And Buildings",KRS,Krishna,road_pothole,1,1,GRA,Wrong/Blank/Not related comments,3,0.91
820,REVENUE,Revenue (CCLA),KDP,Kadapa,land_records,8,1,RDO,GRA did not speak to citizen directly,1,0.92
821,REVENUE,Revenue (CCLA),KNL,Kurnool,revenue_certificate,15,2,Mandal,Incorrect routing,10,0.93
822,MUNI,Municipal Administration And Urban Development,KNL,Kurnool,garbage_collection,20,1,Mandal,GRA did not speak to citizen directly,1,0.91
823,HOUSING,Housing,PVT,Parvathipuram Manyam,building_quality,10,1,Mandal,GRA did not speak to citizen directly,1,0.9
824,REVENUE,Revenue (CCLA),TPT,Tirupati,land_mutation,7,1,Mandal,Wrong/Blank/Not related comments,3,0.88
825,SOC_WELF,Social Welfare,KRS,Krishna,welfare_scheme,7,1,Tahsildar,GRA did not speak to citizen directly,1,0.92
826,WATER,Water Resources,ELR,Eluru,tank_maintenance,24,2,Tahsildar,GRA did not speak to citizen directly,1,0.88
827,AGRI,Agriculture And Co-operation,TPT,Tirupati,crop_insurance,27,3,Collector,Inadequate action taken,8,0.91
828,MUNI,Municipal Administration And Urban Development,PKM,Prakasam,street_lights,19,2,Tahsildar,GRA did not speak to citizen directly,1,0.93
829,SOC_WELF,Social Welfare,ANT,Anantapur,pension_delay,11,1,RDO,Premature closure,6,0.89
830,REVENUE,Revenue (CCLA),CHT,Chittoor,land_mutation,16,1,Tahsildar,GRA did not speak to citizen directly,1,0.89
831,RNB,"Transport, Roads And Buildings",CHT,Chittoor,bridge_repair,79,20,Collector,Not visited site / No field verification,2,0.92
832,REVENUE,Revenue (CCLA),VSP,Visakhapatnam,tax_assessment,84,20,CM,Not visited site / No field verification,2,0.94
833,RNB,"Transport, Roads And Buildings",VZG,Vizianagaram,highway_maintenance,18,2,Collector,Wrong/Blank/Not related comments,3,0.93
834,REVENUE,Revenue (CCLA),ELR,Eluru,tax_assessment,66,20,CM,Not visited site / No field verification,2,0.94
835,REVENUE,Revenue (CCLA),ANT,Anantapur,property_dispute,13,1,RDO,Wrong/Blank/Not related comments,3,0.89
836,PNCHRAJ,Panchayat Raj And Rural Development,EG,East Godavari,drinking_water,16,2,Tahsildar,GRA did not speak to citizen directly,1,0.89
837,REVENUE,Revenue (CCLA),ELR,Eluru,land_mutation,10,1,Mandal,Not visited site / No field verification,2,0.9
838,REVENUE,Revenue (CCLA),KRS,Krishna,property_dispute,8,1,RDO,GRA did not speak to citizen directly,1,0.93
839,AGRI,Agriculture And Co-operation,VSP,Visakhapatnam,subsidy_delay,3,1,Mandal,GRA did not speak to citizen directly,1,0.89
840,ENERGY,Energy,KDP,Kadapa,transformer_problem,57,10,Collector,Inordinate delay,9,0.94
841,RNB,"Transport, Roads And Buildings",KNL,Kurnool,road_pothole,12,1,GRA,Incorrect routing,10,0.94
842,AGRI,Agriculture And Co-operation,TPT,Tirupati,irrigation_problem,11,1,RDO,Premature closure,6,0.94
843,SOC_WELF,Social Welfare,VZG,Vizianagaram,disability_certificate,22,3,Collector,Wrong/Blank/Not related comments,3,0.88
844,REVENUE,Revenue (CCLA),VZG,Vizianagaram,encroachment,5,1,Tahsildar,Closed without required documents,4,0.86
845,AGRI,Agriculture And Co-operation,KNR,Konaseema,irrigation_problem,17,3,Collector,Premature closure,6,0.88
846,MUNI,Municipal Administration And Urban Development,KDP,Kadapa,drainage_issue,8,1,Tahsildar,GRA did not speak to citizen directly,1,0.93
847,WATER,Water Resources,PLN,Palnadu,tank_maintenance,8,1,RDO,Inadequate action taken,8,0.86
848,REVENUE,Revenue (CCLA),ELR,Eluru,revenue_certificate,51,15,Collector,No proper enquiry conducted,5,0.85
849,REVENUE,Revenue (CCLA),BAP,Bapatla,tax_assessment,12,1,GRA,Wrong/Blank/Not related comments,3,0.92
850,REVENUE,Revenue (CCLA),SKM,Srikakulam,encroachment,11,1,Tahsildar,GRA did not speak to citizen directly,1,0.86
851,PNCHRAJ,Panchayat Raj And Rural Development,VZG,Vizianagaram,drinking_water,6,1,GRA,Closed without required documents,4,0.87
852,WATER,Water Resources,TPT,Tirupati,bore_well,7,1,GRA,GRA did not speak to citizen directly,1,0.91
853,WOMEN,"Women, Children, Disabled And Senior Citizens",KNL,Kurnool,child_welfare,35,7,RDO,Not visited site / No field verification,2,0.95
854,REVENUE,Revenue (CCLA),ARL,Alluri Sitharama Raju,property_dispute,8,1,Tahsildar,GRA did not speak to citizen directly,1,0.95
855,SOC_WELF,Social Welfare,CHT,Chittoor,scholarship_issue,11,1,Mandal,Wrong/Blank/Not related comments,3,0.88
856,REVENUE,Revenue (CCLA),PKM,Prakasam,encroachment,71,13,RDO,Inordinate delay,9,0.85
857,MUNI,Municipal Administration And Urban Development,SKM,Srikakulam,garbage_collection,9,1,Tahsildar,No action letter issued,11,0.85
858,REVENUE,Revenue (CCLA),NTR,NTR District,encroachment,33,12,CM,Not visited site / No field verification,2,0.86
859,REVENUE,Revenue (CCLA),VSP,Visakhapatnam,property_dispute,61,15,HOD,Not visited site / No field verification,2,0.88
860,HEALTH,"Health, Medical And Family Welfare",KKN,Kakinada,doctor_absence,7,1,RDO,Wrong/Blank/Not related comments,3,0.95
861,PNCHRAJ,Panchayat Raj And Rural Development,WG,West Godavari,village_development,25,1,Mandal,No proper enquiry conducted,5,0.87
862,REVENUE,Revenue (CCLA),NTR,NTR District,land_mutation,56,20,HOD,Not visited site / No field verification,2,0.89
863,BC_WELF,Backward Classes Welfare,BAP,Bapatla,welfare_benefit,21,3,Mandal,Wrong/Blank/Not related comments,3,0.86
864,REVENUE,Revenue (CCLA),KNL,Kurnool,property_dispute,44,4,Collector,No proper enquiry conducted,5,0.91
865,MUNI,Municipal Administration And Urban Development,GNT,Guntur,road_repair,19,3,Tahsildar,Wrong/Blank/Not related comments,3,0.93
866,AGRI,Agriculture And Co-operation,NLR,Nellore,crop_compensation,16,1,Tahsildar,GRA did not speak to citizen directly,1,0.91
867,HOUSING,Housing,NLR,Nellore,housing_scheme,1,1,GRA,GRA did not speak to citizen directly,1,0.9
868,HOUSING,Housing,KKN,Kakinada,house_site,71,20,HOD,Not visited site / No field verification,2,0.88
869,PNCHRAJ,Panchayat Raj And Rural Development,NAG,Sri Potti Sriramulu Nellore,village_development,21,1,Tahsildar,GRA did not speak to citizen directly,1,0.88
870,REVENUE,Revenue (CCLA),ANT,Anantapur,encroachment,6,1,Collector,Incorrect routing,10,0.86
871,WATER,Water Resources,NTR,NTR District,tank_maintenance,9,1,Tahsildar,Action not taken as per rules,7,0.87
872,REVENUE,Revenue (CCLA),TPT,Tirupati,land_records,27,2,Tahsildar,Closed without required documents,4,0.92
873,WATER,Water Resources,ANM,Annamaya,water_shortage,18,2,RDO,Wrong/Blank/Not related comments,3,0.91
874,REVENUE,Revenue (CCLA),VZG,Vizianagaram,revenue_certificate,4,1,Tahsildar,Wrong/Blank/Not related comments,3,0.92
875,AGRI,Agriculture And Co-operation,PVT,Parvathipuram Manyam,subsidy_delay,1,1,GRA,Incorrect routing,10,0.88
876,SOC_WELF,Social Welfare,TPT,Tirupati,scholarship_issue,24,2,Tahsildar,GRA did not speak to citizen directly,1,0.9
877,REVENUE,Revenue (CCLA),VSP,Visakhapatnam,encroachment,15,2,Mandal,GRA did not speak to citizen directly,1,0.9
878,PNCHRAJ,Panchayat Raj And Rural Development,KRS,Krishna,sanitation,20,2,Mandal,GRA did not speak to citizen directly,1,0.92
879,SOC_WELF,Social Welfare,TPT,Tirupati,pension_delay,19,2,Tahsildar,Premature closure,6,0.91
880,SOC_WELF,Social Welfare,PLN,Palnadu,scholarship_issue,10,1,GRA,Wrong/Blank/Not related comments,3,0.87
881,REVENUE,Revenue (CCLA),KKN,Kakinada,revenue_certificate,19,2,Tahsildar,Premature closure,6,0.87
882,SOC_WELF,Social Welfare,PVT,Parvathipuram Manyam,scholarship_issue,22,3,RDO,Premature closure,6,0.93
883,MUNI,Municipal Administration And Urban Development,PVT,Parvathipuram Manyam,building_permission,5,1,GRA,No action letter issued,11,0.86
